2025-06-15 15:30:44 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:30:44 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:30:45 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:33:58 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:33:58 | INFO | yahoo_nifty_greeks:__init__:240 | NIFTY Options Chain generator initialized
2025-06-15 15:33:58 | INFO | yahoo_nifty_greeks:generate_options_chain:282 | Generating NIFTY options chain
2025-06-15 15:33:58 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:33:59 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:33:59 | INFO | yahoo_nifty_greeks:get_nifty_historical_data:175 | Fetching 30 days of NIFTY historical data
2025-06-15 15:33:59 | SUCCESS | yahoo_nifty_greeks:get_nifty_historical_data:204 | Fetched 21 days of historical data
2025-06-15 15:33:59 | INFO | yahoo_nifty_greeks:calculate_historical_volatility:227 | Calculated historical volatility: 0.1017
2025-06-15 15:33:59 | INFO | yahoo_nifty_greeks:generate_options_chain:307 | Calculating Greeks for 5 strikes
2025-06-15 15:33:59 | SUCCESS | yahoo_nifty_greeks:generate_options_chain:377 | Generated options chain with 10 options
2025-06-15 15:33:59 | INFO | yahoo_nifty_greeks:analyze_options_chain:456 | Options chain analysis completed
2025-06-15 15:35:01 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:35:01 | INFO | yahoo_nifty_greeks:__init__:240 | NIFTY Options Chain generator initialized
2025-06-15 15:35:01 | INFO | yahoo_nifty_greeks:generate_options_chain:282 | Generating NIFTY options chain
2025-06-15 15:35:01 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:35:02 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:35:02 | INFO | yahoo_nifty_greeks:get_nifty_historical_data:175 | Fetching 30 days of NIFTY historical data
2025-06-15 15:35:03 | SUCCESS | yahoo_nifty_greeks:get_nifty_historical_data:204 | Fetched 21 days of historical data
2025-06-15 15:35:03 | INFO | yahoo_nifty_greeks:calculate_historical_volatility:227 | Calculated historical volatility: 0.1017
2025-06-15 15:35:03 | INFO | yahoo_nifty_greeks:generate_options_chain:307 | Calculating Greeks for 5 strikes
2025-06-15 15:35:03 | SUCCESS | yahoo_nifty_greeks:generate_options_chain:377 | Generated options chain with 10 options
2025-06-15 15:35:03 | INFO | yahoo_nifty_greeks:analyze_options_chain:456 | Options chain analysis completed
2025-06-15 15:35:21 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:35:21 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:35:21 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
